date,pair,status,price_fst_stock,price_scnd_stock,beta_open,beta_close,last_residual,std_residual,std_open_residual,residual_open,open_price_first_stock,open_price_scnd_stock,open_date,close_limit,stop_limit,halflife,days_open,correlation,correlation_limit,var_limit
2019-06-18,"('BBDC4', 'BBSE3')",close,24.06,25.6,1.72786608164753,VAR CLOSE,-4.028151941803962,1.3287661194107234,1.23477812321884,-2.8830285703960925,24.14,24.59,2019-06-05,0.6173890616094396,1237.2476794652775,9.0,9,0.9444684206568101,0.8229557351837617,-0.025780144103143
2019-04-09,"('BBDC4', 'ITSA4')",True,24.01,9.86,3.0106815223306747,,1.9674949192948183,0.8111583169479516,0.8111583169479516,1.9674949192948183,24.01,9.86,2019-04-09,0.4055791584739587,812.7806335818475,11.0,0,0.9723680693750865,0.8229557351837617,-0.017081812840686827
2019-04-10,"('BBDC4', 'ITSA4')",True,23.67,9.81,3.0106815223306747,,1.7534285252605315,0.8088910820745212,0.8111583169479516,1.9674949192948183,24.01,9.86,2019-04-09,0.4055791584739587,812.7806335818475,11.0,1,0.9723680693750865,0.8229557351837617,-0.017081812840686827
2019-04-11,"('BBDC4', 'ITSA4')",True,23.29,9.69,3.0106815223306747,,1.7155446313156801,0.8093640808906462,0.8111583169479516,1.9674949192948183,24.01,9.86,2019-04-09,0.4055791584739587,812.7806335818475,11.0,2,0.9723680693750865,0.8229557351837617,-0.017081812840686827
2019-04-12,"('BBDC4', 'ITSA4')",True,23.08,9.59,3.0106815223306747,,1.787615683034911,0.8085405259642331,0.8111583169479516,1.9674949192948183,24.01,9.86,2019-04-09,0.4055791584739587,812.7806335818475,11.0,3,0.9723680693750865,0.8229557351837617,-0.017081812840686827
2019-04-15,"('BBDC4', 'ITSA4')",True,23.03,9.57,3.0106815223306747,,1.778716184285173,0.8088158710669776,0.8111583169479516,1.9674949192948183,24.01,9.86,2019-04-09,0.4055791584739587,812.7806335818475,11.0,4,0.9723680693750865,0.8229557351837617,-0.017081812840686827
2019-04-16,"('BBDC4', 'ITSA4')",True,22.99,9.65,3.0106815223306747,,1.4776552016024311,0.8080248353309494,0.8111583169479516,1.9674949192948183,24.01,9.86,2019-04-09,0.4055791584739587,812.7806335818475,11.0,5,0.9723680693750865,0.8229557351837617,-0.017081812840686827
2019-04-17,"('BBDC4', 'ITSA4')",True,22.67,9.52,3.0106815223306747,,1.5374475354260149,0.8061290396348878,0.8111583169479516,1.9674949192948183,24.01,9.86,2019-04-09,0.4055791584739587,812.7806335818475,11.0,6,0.9723680693750865,0.8229557351837617,-0.017081812840686827
2019-04-18,"('BBDC4', 'ITSA4')",True,22.98,9.62,3.0106815223306747,,1.5241278879315168,0.8043271490952011,0.8111583169479516,1.9674949192948183,24.01,9.86,2019-04-09,0.4055791584739587,812.7806335818475,11.0,7,0.9723680693750865,0.8229557351837617,-0.017081812840686827
2019-04-22,"('BBDC4', 'ITSA4')",True,23.17,9.59,3.0106815223306747,,1.7893088579694627,0.8080786180891798,0.8111583169479516,1.9674949192948183,24.01,9.86,2019-04-09,0.4055791584739587,812.7806335818475,11.0,8,0.9723680693750865,0.8229557351837617,-0.017081812840686827
