time,open,high,low,close,tick_volume,spread,real_volume,ticker
2020-03-17,71178.0,77255.0,70783.0,74617.0,3382359,0,27624593588,IBOV
2020-03-18,74576.0,74576.0,63547.0,66895.0,3604604,0,26993731506,IBOV
2020-03-19,66810.0,70071.0,61691.0,68332.0,3553809,0,25971118428,IBOV
2020-03-20,68344.0,72247.0,66120.0,67069.0,3586397,0,25040470489,IBOV
2020-03-23,67068.0,67604.0,62161.0,63570.0,2914391,0,18376945576,IBOV
2020-03-24,63604.0,71535.0,63604.0,69729.0,2416183,0,19740961497,IBOV
2020-03-25,69727.0,76714.0,69360.0,74956.0,2832108,0,21582429486,IBOV
2020-03-26,74956.0,78846.0,74923.0,77710.0,2922993,0,23044604310,IBOV
2020-03-27,77708.0,77708.0,73057.0,73429.0,2332573,0,18322866130,IBOV
2020-03-30,73431.0,75430.0,73184.0,74639.0,4013262,0,32260909548,IBOV
2020-03-31,74629.0,75511.0,72385.0,73020.0,2292416,0,18980414682,IBOV
2020-04-01,73011.0,73011.0,69569.0,70967.0,2454909,0,17098092870,IBOV
2020-04-02,70969.0,73861.0,70957.0,72253.0,2201485,0,18135926017,IBOV
2020-04-03,72241.0,72241.0,67802.0,69538.0,2380616,0,16904458284,IBOV
2020-04-06,69556.0,75260.0,69556.0,74073.0,1996020,0,16706180887,IBOV
2020-04-07,74078.0,79855.0,74078.0,76358.0,2511389,0,20889506228,IBOV
2020-04-08,76335.0,79058.0,76115.0,78625.0,2064389,0,17121723209,IBOV
2020-04-09,78640.0,80428.0,77457.0,77682.0,2266751,0,19205173054,IBOV
2020-04-13,77682.0,78836.0,76405.0,78836.0,1707194,0,13410754007,IBOV
2020-04-14,78862.0,81668.0,78862.0,79918.0,6007396,0,47377451053,IBOV
2020-04-15,79911.0,80035.0,77546.0,78831.0,1990161,0,17672399027,IBOV
2020-04-16,78837.0,80167.0,77452.0,77812.0,2011454,0,16376661638,IBOV
2020-04-17,77817.0,79846.0,77754.0,78990.0,1825297,0,15288001467,IBOV
2020-04-20,78989.0,80106.0,76943.0,78973.0,1869083,0,16221986679,IBOV
2020-04-22,78973.0,81184.0,78973.0,80687.0,2118685,0,19028178508,IBOV
2020-04-23,80690.0,81934.0,78622.0,79673.0,2288796,0,19164588532,IBOV
2020-04-24,79667.0,79667.0,72041.0,75331.0,3865497,0,28962126196,IBOV
2020-04-27,75334.0,78563.0,75327.0,78239.0,2148667,0,18355918020,IBOV
2020-04-28,78243.0,81427.0,78243.0,81312.0,2354755,0,21912510142,IBOV
2020-04-29,81313.0,83598.0,81313.0,83171.0,2223539,0,20210572100,IBOV
2020-04-30,83139.0,83155.0,80168.0,80506.0,2121235,0,20556529162,IBOV
2020-05-04,80501.0,80502.0,77640.0,78876.0,4172627,0,30179904881,IBOV
2020-05-05,78887.0,81066.0,78886.0,79471.0,5087309,0,47446185834,IBOV
2020-05-06,79473.0,79996.0,78056.0,79064.0,1962162,0,18263705341,IBOV
2020-05-07,79072.0,80061.0,78061.0,78119.0,3047928,0,26084310584,IBOV
2020-05-08,78152.0,80557.0,78152.0,80263.0,1969099,0,18930595189,IBOV
2020-05-11,80253.0,80723.0,78994.0,79065.0,2026968,0,17131567314,IBOV
2020-05-12,79062.0,80344.0,77872.0,77872.0,2134682,0,17842786209,IBOV
2020-05-13,77877.0,78911.0,77152.0,77772.0,32790212,0,277574180622,IBOV
2020-05-14,77770.0,79011.0,75697.0,79011.0,2601059,0,23633200563,IBOV
2020-05-15,79011.0,79538.0,77426.0,77557.0,2190082,0,21347912067,IBOV
2020-05-18,77576.0,81420.0,77571.0,81194.0,2258249,0,21763046204,IBOV
2020-05-19,81197.0,82175.0,80647.0,80742.0,2247608,0,19856899003,IBOV
2020-05-20,80747.0,82290.0,80740.0,81319.0,2019341,0,18311519170,IBOV
2020-05-21,81317.0,83309.0,81317.0,83027.0,2447460,0,22755872101,IBOV
2020-05-22,83027.0,83027.0,81669.0,82173.0,1883518,0,17332610792,IBOV
2020-05-25,82198.0,85876.0,82193.0,85663.0,1685808,0,16289256272,IBOV
2020-05-26,85668.0,87333.0,85396.0,85469.0,2346428,0,23645386274,IBOV
2020-05-27,85468.0,87946.0,85468.0,87946.0,2072358,0,21061279431,IBOV
2020-05-28,87946.0,88091.0,86767.0,86949.0,2023144,0,18547278665,IBOV
2020-05-29,86951.0,87410.0,85384.0,87403.0,2598547,0,33849523338,IBOV
2020-06-01,87394.0,89019.0,86837.0,88620.0,5875555,0,58586346155,IBOV
2020-06-02,88622.0,91046.0,88622.0,91046.0,2312066,0,22960953571,IBOV
2020-06-03,91051.0,93710.0,91051.0,93002.0,3046588,0,30874124341,IBOV
2020-06-04,92993.0,94132.0,92221.0,93829.0,2279573,0,24345499690,IBOV
2020-06-05,93840.0,97356.0,93839.0,94637.0,2779272,0,29962854551,IBOV
2020-06-08,94640.0,97693.0,94635.0,97645.0,2218282,0,24930991806,IBOV
2020-06-09,97644.0,97644.0,95386.0,96747.0,2378250,0,24523873889,IBOV
2020-06-10,96747.0,97646.0,94665.0,94686.0,2480064,0,25735395024,IBOV
2020-06-12,94677.0,94703.0,90811.0,92795.0,2953288,0,27219588016,IBOV
2020-06-15,92780.0,93112.0,90148.0,92376.0,2518553,0,24470799006,IBOV
2020-06-16,92387.0,95216.0,92387.0,93531.0,2436907,0,24141575860,IBOV
2020-06-17,93531.0,96611.0,93531.0,95547.0,2161400,0,24423443294,IBOV
2020-06-18,95547.0,97110.0,94698.0,96125.0,2009724,0,21743500296,IBOV
2020-06-19,96138.0,97540.0,95874.0,96572.0,2124836,0,29828229425,IBOV
2020-06-22,96572.0,96870.0,94869.0,95336.0,1699835,0,16871641359,IBOV
2020-06-23,95344.0,97486.0,95344.0,95975.0,1823133,0,20262030079,IBOV
2020-06-24,95974.0,95974.0,93259.0,94377.0,1844815,0,19472294507,IBOV
2020-06-25,94384.0,96260.0,94152.0,95983.0,1751070,0,17923893457,IBOV
2020-06-26,95979.0,95979.0,93514.0,93834.0,1682280,0,17569427332,IBOV
2020-06-29,93837.0,95735.0,93825.0,95735.0,1565582,0,17301709711,IBOV
2020-06-30,95728.0,96257.0,94806.0,95056.0,1833234,0,21434291881,IBOV
2020-07-01,95062.0,96852.0,95062.0,96203.0,1975917,0,21133103490,IBOV
2020-07-02,96206.0,97864.0,96052.0,96235.0,1865508,0,20796194350,IBOV
2020-07-03,96237.0,96765.0,95803.0,96765.0,981635,0,10276643909,IBOV
2020-07-06,96776.0,99257.0,96768.0,98937.0,1872479,0,19952738483,IBOV
2020-07-07,98937.0,98938.0,97272.0,97761.0,1792696,0,19855315531,IBOV
2020-07-08,97765.0,99973.0,97765.0,99770.0,1705758,0,20583531707,IBOV
2020-07-09,99770.0,100191.0,98861.0,99160.0,3303631,0,41984836238,IBOV
2020-07-10,99160.0,100101.0,98739.0,100032.0,1568145,0,18843063389,IBOV
2020-07-13,100027.0,100858.0,98697.0,98697.0,1873780,0,21284103191,IBOV
2020-07-14,98699.0,100632.0,98289.0,100440.0,1839570,0,22967297667,IBOV
2020-07-15,100444.0,102114.0,100444.0,101791.0,1989305,0,21815191747,IBOV
2020-07-16,101792.0,101792.0,100160.0,100553.0,1646083,0,18474328748,IBOV
2020-07-17,100554.0,103017.0,100554.0,102888.0,2103617,0,23067063266,IBOV
2020-07-20,102876.0,104439.0,102744.0,104426.0,1776894,0,20644191849,IBOV
2020-07-21,104427.0,105449.0,103732.0,104310.0,2123502,0,26298755275,IBOV
2020-07-22,104312.0,104980.0,103277.0,104290.0,2011291,0,23048072730,IBOV
2020-07-23,104291.0,104949.0,102119.0,102293.0,1908905,0,21943715059,IBOV
2020-07-24,102292.0,102694.0,100859.0,102382.0,1831625,0,20685424338,IBOV
2020-07-27,102381.0,104585.0,102381.0,104477.0,3587159,0,44017694516,IBOV
2020-07-28,104477.0,104663.0,103592.0,104109.0,1738742,0,20274918817,IBOV
2020-07-29,104112.0,105704.0,104112.0,105605.0,1676237,0,20240302163,IBOV
2020-07-30,105605.0,105607.0,103920.0,105009.0,1677104,0,22462939600,IBOV
2020-07-31,105010.0,105462.0,102642.0,102912.0,2139468,0,26802459423,IBOV
2020-08-03,102913.0,103863.0,102304.0,102830.0,2169874,0,23875593203,IBOV
2020-08-04,102826.0,103012.0,100005.0,101216.0,2133926,0,32314966148,IBOV
2020-08-05,101220.0,103763.0,101220.0,102802.0,2034643,0,24355885094,IBOV
2020-08-06,102795.0,104523.0,102795.0,104126.0,373995068,0,3823130648540,IBOV
2020-08-07,104116.0,104126.0,101957.0,102776.0,3986473,0,45731517216,IBOV
2020-08-10,102777.0,103723.0,101282.0,103445.0,1726011,0,18889319885,IBOV
2020-08-11,103459.0,104409.0,102174.0,102174.0,1974390,0,21751405999,IBOV
2020-08-12,102176.0,103116.0,100698.0,102118.0,2190050,0,23552675221,IBOV
2020-08-13,102118.0,103237.0,100187.0,100461.0,2321799,0,24912940161,IBOV
2020-08-14,100469.0,101717.0,100445.0,101354.0,1986164,0,20977780991,IBOV
2020-08-17,101348.0,101689.0,98513.0,99595.0,2138174,0,25289086365,IBOV
2020-08-18,99597.0,102247.0,99597.0,102065.0,1958423,0,23211886567,IBOV
2020-08-19,102072.0,102334.0,100800.0,100854.0,1907940,0,21707372711,IBOV
2020-08-20,100853.0,101749.0,99131.0,101468.0,1936172,0,22093420061,IBOV
2020-08-21,101460.0,101566.0,100413.0,101521.0,1707059,0,18497129538,IBOV
2020-08-24,101525.0,102515.0,101525.0,102298.0,1606042,0,18003739565,IBOV
2020-08-25,102299.0,102708.0,101623.0,102118.0,1694246,0,18312535161,IBOV
2020-08-26,102119.0,102521.0,99359.0,100627.0,2198677,0,22826911779,IBOV
2020-08-27,100625.0,101548.0,99857.0,100624.0,1601426,0,17097413050,IBOV
2020-08-28,100631.0,102347.0,100631.0,102143.0,1717619,0,17667322742,IBOV
2020-08-31,102142.0,102142.0,99369.0,99369.0,1804679,0,26728759168,IBOV
2020-09-01,99382.0,102238.0,99382.0,102168.0,2006271,0,21488282742,IBOV
2020-09-02,102168.0,102824.0,100872.0,101911.0,1522605,0,16610828394,IBOV
2020-09-03,101911.0,103226.0,99751.0,100721.0,2497381,0,30368822598,IBOV
2020-09-04,100737.0,101582.0,98961.0,101242.0,2098242,0,27538013047,IBOV
2020-09-08,101239.0,101239.0,99373.0,100050.0,1792431,0,19467898260,IBOV
2020-09-09,100050.0,101578.0,100050.0,101292.0,3261327,0,35637139976,IBOV
2020-09-10,101291.0,101537.0,98687.0,98835.0,3589182,0,42977440282,IBOV
2020-09-11,98837.0,99435.0,97758.0,98363.0,6054733,0,64986842554,IBOV
2020-09-14,98367.0,100520.0,98367.0,100275.0,1626185,0,18851224136,IBOV
2020-09-15,100277.0,100949.0,99647.0,100298.0,1765435,0,19711841252,IBOV
2020-09-16,100299.0,100663.0,99663.0,99676.0,1568338,0,17015545827,IBOV
2020-09-17,99674.0,100251.0,98562.0,100098.0,1531126,0,17785306690,IBOV
2020-09-18,100102.0,100102.0,98045.0,98290.0,3813663,0,48662911504,IBOV
2020-09-21,98283.0,98283.0,95820.0,96991.0,1833546,0,21973708938,IBOV
2020-09-22,96995.0,97684.0,96390.0,97294.0,1490398,0,16226007624,IBOV
2020-09-23,97295.0,97389.0,95728.0,95735.0,1762226,0,20091545284,IBOV
2020-09-24,95737.0,97955.0,95653.0,97012.0,1766638,0,19955145276,IBOV
2020-09-25,97011.0,97011.0,95632.0,96999.0,1358121,0,14903455709,IBOV
2020-09-28,97005.0,98314.0,94371.0,94666.0,2130826,0,22834981275,IBOV
2020-09-29,94665.0,95505.0,93408.0,93580.0,1784765,0,18685951927,IBOV
2020-09-30,93586.0,95340.0,93584.0,94603.0,1806453,0,19760375609,IBOV
